{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200       0.996794     -0.0406517    0.000766197
-4.9  -4.8   5   0   200       0.985114      -0.036024    0.000727067
-4.8  -4.7   5   0   200        0.98883     -0.0326075    0.000712865
-4.7  -4.6   5   0   200       0.967867     -0.0245943    0.000592397
-4.6  -4.5   5   0   200         0.9645     -0.0233314    0.000548755
-4.5  -4.4   5   0   200       0.962762     -0.0224954    0.000549439
-4.4  -4.3   5   0   200       0.957108     -0.0223579    0.000569807
-4.3  -4.2   5   0   200       0.980092     -0.0227495    0.000605945
-4.2  -4.1   5   0   200       0.976209      -0.021982    0.000581723
-4.1    -4   5   0   200       0.982686     -0.0211967    0.000563029
  -4  -3.9   5   0   200       0.984452     -0.0201001    0.000526508
-3.9  -3.8   5   0   200       0.990806      -0.019817    0.000538489
-3.8  -3.7   5   0   200        1.00143     -0.0187181    0.000499002
-3.7  -3.6   5   0   200       0.995716     -0.0184509    0.000491159
-3.6  -3.5   5   0   200       0.988672     -0.0168767    0.000443117
-3.5  -3.4   5   0   200       0.973305     -0.0174966    0.000491822
-3.4  -3.3   5   0   200       0.963633     -0.0179481    0.000538371
-3.3  -3.2   5   0   200       0.971929     -0.0147699    0.000321124
-3.2  -3.1   5   0   200        1.00877     -0.0133729    0.000234596
-3.1    -3   5   0   200        1.03042     -0.0101714    7.60743e-05
  -3  -2.9   5   0   200        1.02438    -0.00480784    -0.00019104
-2.9  -2.8   5   0   200        1.02609     0.00350043   -0.000550664
-2.8  -2.7   5   0   200        1.01765     0.00824406   -0.000788512
-2.7  -2.6   5   0   200        1.00854      0.0161571     -0.0011307
-2.6  -2.5   5   0   200        1.00473      0.0176468    -0.00117783
-2.5  -2.4   5   0   200        0.97734      0.0191033    -0.00120941
-2.4  -2.3   5   0   200       0.939991      0.0246682    -0.00143206
-2.3  -2.2   5   0   200       0.945976      0.0242834    -0.00140268
-2.2  -2.1   5   0   200        0.95101      0.0236524    -0.00133747
-2.1    -2   5   0   200       0.953928      0.0242291    -0.00136118
  -2  -1.9   5   0   200       0.945267       0.025038    -0.00136086
-1.9  -1.8   5   0   200       0.946661      0.0239985    -0.00128992
-1.8  -1.7   5   0   200       0.948135      0.0218063    -0.00114472
-1.7  -1.6   5   0   200       0.957908      0.0189324    -0.00099138
-1.6  -1.5   5   0   200        0.96389      0.0161994   -0.000832136
-1.5  -1.4   5   0   200       0.965032      0.0147359   -0.000746161
-1.4  -1.3   5   0   200       0.963897      0.0145486    -0.00075856
-1.3  -1.2   5   0   200       0.960678      0.0147898   -0.000776392
-1.2  -1.1   5   0   200       0.958482      0.0150323   -0.000787241
-1.1    -1   5   0   200       0.953136      0.0160168   -0.000832176
  -1  -0.9   5   0   200       0.947156      0.0171878   -0.000895812
-0.9  -0.8   5   0   200       0.950902      0.0168998   -0.000871384
-0.8  -0.7   5   0   200        0.95536      0.0164395   -0.000831467
-0.7  -0.6   5   0   200       0.960712      0.0158303    -0.00078776
-0.6  -0.5   5   0   200       0.965871      0.0154713   -0.000769579
-0.5  -0.4   5   0   200       0.974854      0.0147661    -0.00075647
-0.4  -0.3   5   0   200       0.987071      0.0133087   -0.000697312
-0.3  -0.2   5   0   200       0.995075      0.0123094    -0.00064253
-0.2  -0.1   5   0   200       0.996812      0.0124317   -0.000657815
-0.1     0   5   0   200       0.994862      0.0129846   -0.000678707
  -0   0.1   5   0   200       0.991736      0.0139103   -0.000742367
 0.1   0.2   5   0   200       0.984264        0.01541   -0.000819322
 0.2   0.3   5   0   200       0.976899      0.0165574    -0.00087079
 0.3   0.4   5   0   200       0.968841      0.0171783   -0.000863676
 0.4   0.5   5   0   200       0.961199      0.0183423   -0.000914281
 0.5   0.6   5   0   200       0.957494      0.0191109   -0.000954004
 0.6   0.7   5   0   200       0.956983      0.0189935   -0.000929018
 0.7   0.8   5   0   200        0.95727      0.0192641   -0.000949356
 0.8   0.9   5   0   200       0.957543       0.019086   -0.000922777
 0.9     1   5   0   200       0.958097      0.0192404   -0.000928658
   1   1.1   5   0   200       0.972555      0.0170441   -0.000809142
 1.1   1.2   5   0   200       0.981259      0.0161256   -0.000770266
 1.2   1.3   5   0   200       0.990441      0.0154639   -0.000734526
 1.3   1.4   5   0   200        1.00045        0.01482   -0.000723147
 1.4   1.5   5   0   200        1.00473      0.0151375   -0.000752873
 1.5   1.6   5   0   200        1.00968      0.0153232   -0.000779108
 1.6   1.7   5   0   200        1.00766       0.017043   -0.000895935
 1.7   1.8   5   0   200        1.00283      0.0181707   -0.000951558
 1.8   1.9   5   0   200       0.997568      0.0204913    -0.00108691
 1.9     2   5   0   200        0.99371      0.0221725    -0.00121676
   2   2.1   5   0   200       0.996462      0.0227512    -0.00127285
 2.1   2.2   5   0   200         1.0023      0.0235693    -0.00134183
 2.2   2.3   5   0   200       0.999216      0.0250422    -0.00141648
 2.3   2.4   5   0   200       0.985445      0.0270294    -0.00151784
 2.4   2.5   5   0   200        1.02179      0.0195207    -0.00124831
 2.5   2.6   5   0   200        1.06612      0.0131267    -0.00100397
 2.6   2.7   5   0   200        1.10181     0.00776799   -0.000812126
 2.7   2.8   5   0   200        1.11013    -0.00389824   -0.000272294
 2.8   2.9   5   0   200        1.11315     -0.0109537     8.2674e-05
 2.9     3   5   0   200        1.10433     -0.0192475    0.000456729
   3   3.1   5   0   200        1.09639     -0.0238543    0.000700171
 3.1   3.2   5   0   200        1.07576     -0.0253713    0.000825648
 3.2   3.3   5   0   200        0.99395     -0.0202266    0.000640248
 3.3   3.4   5   0   200       0.945636     -0.0168531    0.000546482
 3.4   3.5   5   0   200       0.957843     -0.0158037    0.000453086
 3.5   3.6   5   0   200       0.968174     -0.0146797    0.000389256
 3.6   3.7   5   0   200       0.977497     -0.0151289    0.000366562
 3.7   3.8   5   0   200       0.976249     -0.0148621    0.000330036
 3.8   3.9   5   0   200       0.970568     -0.0147477    0.000287294
 3.9     4   5   0   200       0.969405     -0.0149117    0.000276776
   4   4.1   5   0   200       0.970191     -0.0151498    0.000264585
 4.1   4.2   5   0   200       0.972003     -0.0156004    0.000265266
 4.2   4.3   5   0   200       0.967553     -0.0154425    0.000251984
 4.3   4.4   5   0   200       0.959481     -0.0157248     0.00025667
 4.4   4.5   5   0   200        0.95635     -0.0164727    0.000269283
 4.5   4.6   5   0   200       0.956447     -0.0175595    0.000288424
 4.6   4.7   5   0   200       0.962494     -0.0182229    0.000288009
 4.7   4.8   5   0   200       0.969793     -0.0262508    0.000414894
 4.8   4.9   5   0   200       0.974274      -0.030615    0.000486202
 4.9     5   5   0   200       0.972164     -0.0352502    0.000538881
