{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200       0.996794     -0.0406517    0.000766197
-4.9  -4.8   5   0   200       0.985114      -0.036024    0.000727067
-4.8  -4.7   5   0   200        0.98883     -0.0326075    0.000712865
-4.7  -4.6   5   0   200       0.967867     -0.0245943    0.000592397
-4.6  -4.5   5   0   200         0.9645     -0.0233314    0.000548755
-4.5  -4.4   5   0   200       0.962762     -0.0224954    0.000549439
-4.4  -4.3   5   0   200       0.957108     -0.0223579    0.000569807
-4.3  -4.2   5   0   200       0.980092     -0.0227495    0.000605945
-4.2  -4.1   5   0   200       0.976209      -0.021982    0.000581723
-4.1    -4   5   0   200       0.982686     -0.0211967    0.000563029
  -4  -3.9   5   0   200       0.984452     -0.0201001    0.000526508
-3.9  -3.8   5   0   200       0.990806      -0.019817    0.000538489
-3.8  -3.7   5   0   200        1.00143     -0.0187181    0.000499002
-3.7  -3.6   5   0   200       0.995716     -0.0184509    0.000491159
-3.6  -3.5   5   0   200       0.988672     -0.0168767    0.000443117
-3.5  -3.4   5   0   200       0.973305     -0.0174966    0.000491822
-3.4  -3.3   5   0   200       0.963633     -0.0179481    0.000538371
-3.3  -3.2   5   0   200       0.971929     -0.0147699    0.000321124
-3.2  -3.1   5   0   200        1.00878     -0.0133732    0.000234612
-3.1    -3   5   0   200        1.03042     -0.0101715    7.60886e-05
  -3  -2.9   5   0   200        1.02471    -0.00478428   -0.000192436
-2.9  -2.8   5   0   200        1.02873     0.00416077   -0.000587989
-2.8  -2.7   5   0   200        1.02347      0.0102238   -0.000899155
-2.7  -2.6   5   0   200        1.01559      0.0204438     -0.0013441
-2.6  -2.5   5   0   200        1.01185      0.0241313    -0.00150575
-2.5  -2.4   5   0   200       0.983207      0.0280051    -0.00164753
-2.4  -2.3   5   0   200        0.93409       0.037765    -0.00204577
-2.3  -2.2   5   0   200       0.937042      0.0391198    -0.00209961
-2.2  -2.1   5   0   200       0.937712      0.0384572    -0.00203423
-2.1    -2   5   0   200       0.934683      0.0372284    -0.00198189
  -2  -1.9   5   0   200       0.918774      0.0359711     -0.0018983
-1.9  -1.8   5   0   200       0.921947      0.0331236    -0.00177189
-1.8  -1.7   5   0   200       0.924972      0.0290223    -0.00155245
-1.7  -1.6   5   0   200       0.944371      0.0231777    -0.00126049
-1.6  -1.5   5   0   200       0.955876       0.018358   -0.000994098
-1.5  -1.4   5   0   200       0.960031      0.0164838   -0.000888084
-1.4  -1.3   5   0   200       0.961746      0.0161984   -0.000886305
-1.3  -1.2   5   0   200        0.95681      0.0175315   -0.000955048
-1.2  -1.1   5   0   200       0.955276      0.0176513   -0.000938189
-1.1    -1   5   0   200       0.947213      0.0189418   -0.000967831
  -1  -0.9   5   0   200       0.934323      0.0212006    -0.00106578
-0.9  -0.8   5   0   200       0.935364      0.0218276    -0.00107516
-0.8  -0.7   5   0   200       0.938593      0.0215675    -0.00104415
-0.7  -0.6   5   0   200        0.94349      0.0209634     -0.0009952
-0.6  -0.5   5   0   200       0.952661      0.0202052   -0.000965791
-0.5  -0.4   5   0   200       0.966661       0.019707    -0.00097824
-0.4  -0.3   5   0   200       0.989317      0.0173315   -0.000870707
-0.3  -0.2   5   0   200        1.00475      0.0159828   -0.000803589
-0.2  -0.1   5   0   200        1.00941      0.0159698   -0.000810979
-0.1     0   5   0   200        1.00692      0.0165522   -0.000836024
  -0   0.1   5   0   200       0.999306      0.0182926   -0.000963412
 0.1   0.2   5   0   200       0.983222      0.0204195      -0.001067
 0.2   0.3   5   0   200       0.965956      0.0223061    -0.00116499
 0.3   0.4   5   0   200       0.946677      0.0234518    -0.00117893
 0.4   0.5   5   0   200       0.930168       0.024908    -0.00122526
 0.5   0.6   5   0   200       0.920024      0.0259594    -0.00126903
 0.6   0.7   5   0   200       0.916319      0.0261541    -0.00127201
 0.7   0.8   5   0   200        0.91808      0.0258024    -0.00125606
 0.8   0.9   5   0   200       0.916133      0.0253846     -0.0012131
 0.9     1   5   0   200       0.915594      0.0245419    -0.00116524
   1   1.1   5   0   200       0.935114      0.0209601    -0.00101082
 1.1   1.2   5   0   200       0.951994      0.0183287   -0.000890364
 1.2   1.3   5   0   200       0.967611       0.017216     -0.0008504
 1.3   1.4   5   0   200       0.982666      0.0164918   -0.000854425
 1.4   1.5   5   0   200       0.990174      0.0169814   -0.000905349
 1.5   1.6   5   0   200        0.99929      0.0177863   -0.000972168
 1.6   1.7   5   0   200       0.997973      0.0209278    -0.00112707
 1.7   1.8   5   0   200       0.988701      0.0241455    -0.00130227
 1.8   1.9   5   0   200       0.975026      0.0284556    -0.00153483
 1.9     2   5   0   200       0.964118        0.03053    -0.00170695
   2   2.1   5   0   200       0.966739      0.0299721     -0.0017076
 2.1   2.2   5   0   200       0.972245      0.0300931     -0.0017233
 2.2   2.3   5   0   200       0.969432      0.0303602    -0.00173719
 2.3   2.4   5   0   200       0.956809      0.0302601    -0.00172523
 2.4   2.5   5   0   200        1.00966      0.0194696    -0.00131822
 2.5   2.6   5   0   200        1.06281      0.0121829   -0.000999819
 2.6   2.7   5   0   200        1.10168     0.00662868   -0.000782762
 2.7   2.8   5   0   200        1.11039    -0.00505337    -0.00022936
 2.8   2.9   5   0   200         1.1131     -0.0113784    9.65965e-05
 2.9     3   5   0   200         1.1043     -0.0192751    0.000456975
   3   3.1   5   0   200        1.09639     -0.0238541    0.000700172
 3.1   3.2   5   0   200        1.07576     -0.0253717    0.000825665
 3.2   3.3   5   0   200        0.99395     -0.0202266     0.00064025
 3.3   3.4   5   0   200       0.945636     -0.0168531    0.000546482
 3.4   3.5   5   0   200       0.957843     -0.0158037    0.000453086
 3.5   3.6   5   0   200       0.968174     -0.0146797    0.000389256
 3.6   3.7   5   0   200       0.977497     -0.0151289    0.000366562
 3.7   3.8   5   0   200       0.976249     -0.0148621    0.000330036
 3.8   3.9   5   0   200       0.970568     -0.0147477    0.000287294
 3.9     4   5   0   200       0.969405     -0.0149117    0.000276776
   4   4.1   5   0   200       0.970191     -0.0151498    0.000264585
 4.1   4.2   5   0   200       0.972003     -0.0156004    0.000265266
 4.2   4.3   5   0   200       0.967553     -0.0154425    0.000251984
 4.3   4.4   5   0   200       0.959481     -0.0157248     0.00025667
 4.4   4.5   5   0   200        0.95635     -0.0164727    0.000269283
 4.5   4.6   5   0   200       0.956447     -0.0175595    0.000288424
 4.6   4.7   5   0   200       0.962494     -0.0182229    0.000288009
 4.7   4.8   5   0   200       0.969793     -0.0262508    0.000414894
 4.8   4.9   5   0   200       0.974274      -0.030615    0.000486202
 4.9     5   5   0   200       0.972164     -0.0352502    0.000538881
