{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200        1.28128       -0.15855      0.0121025
-4.9  -4.8   5   0   200        1.28684      -0.159181      0.0125415
-4.8  -4.7   5   0   200        1.30311      -0.159831       0.012925
-4.7  -4.6   5   0   200        1.28311      -0.151853      0.0129112
-4.6  -4.5   5   0   200        1.28332      -0.151676      0.0129577
-4.5  -4.4   5   0   200        1.25214      -0.141113      0.0121805
-4.4  -4.3   5   0   200        1.24755      -0.141248      0.0122262
-4.3  -4.2   5   0   200        1.26906      -0.141754      0.0123317
-4.2  -4.1   5   0   200        1.25431      -0.137293      0.0120051
-4.1    -4   5   0   200        1.24813      -0.132132      0.0116235
  -4  -3.9   5   0   200        1.23672      -0.125981      0.0111251
-3.9  -3.8   5   0   200        1.22571      -0.119537      0.0106101
-3.8  -3.7   5   0   200        1.21372      -0.110703     0.00992871
-3.7  -3.6   5   0   200        1.19314      -0.105531     0.00952314
-3.6  -3.5   5   0   200        1.15325     -0.0930011     0.00858481
-3.5  -3.4   5   0   200        1.12796     -0.0905204     0.00839889
-3.4  -3.3   5   0   200        1.10792     -0.0880569     0.00825706
-3.3  -3.2   5   0   200        1.10866     -0.0823913     0.00785043
-3.2  -3.1   5   0   200        1.15605     -0.0804365     0.00740231
-3.1    -3   5   0   200        1.17998      -0.074739     0.00678531
  -3  -2.9   5   0   200        1.19068     -0.0720709     0.00651464
-2.9  -2.8   5   0   200        1.22397     -0.0706115     0.00644174
-2.8  -2.7   5   0   200        1.24725     -0.0749191      0.0068259
-2.7  -2.6   5   0   200        1.27747     -0.0760979     0.00690629
-2.6  -2.5   5   0   200        1.30123     -0.0829793     0.00747816
-2.5  -2.4   5   0   200        1.30579     -0.0931303     0.00848221
-2.4  -2.3   5   0   200        1.29767     -0.0969352     0.00901314
-2.3  -2.2   5   0   200        1.34234      -0.109091      0.0099164
-2.2  -2.1   5   0   200        1.36791      -0.115183      0.0103223
-2.1    -2   5   0   200        1.37063      -0.114744      0.0103257
  -2  -1.9   5   0   200        1.36292      -0.113949      0.0103133
-1.9  -1.8   5   0   200        1.31914      -0.100872     0.00930573
-1.8  -1.7   5   0   200        1.32467       -0.10435     0.00956267
-1.7  -1.6   5   0   200        1.31234      -0.100916     0.00929064
-1.6  -1.5   5   0   200        1.30672     -0.0995669     0.00910316
-1.5  -1.4   5   0   200         1.2669     -0.0881162      0.0081884
-1.4  -1.3   5   0   200        1.26806     -0.0889855        0.00822
-1.3  -1.2   5   0   200        1.26235     -0.0875973     0.00807951
-1.2  -1.1   5   0   200         1.2503     -0.0845236     0.00787469
-1.1    -1   5   0   200        1.23951     -0.0823179     0.00778043
  -1  -0.9   5   0   200         1.2304     -0.0801762     0.00764224
-0.9  -0.8   5   0   200        1.22379     -0.0774907     0.00746371
-0.8  -0.7   5   0   200        1.24617     -0.0833717     0.00791079
-0.7  -0.6   5   0   200        1.26241     -0.0876044     0.00825822
-0.6  -0.5   5   0   200        1.29149     -0.0960198     0.00894925
-0.5  -0.4   5   0   200        1.34775       -0.11208      0.0101926
-0.4  -0.3   5   0   200        1.35905      -0.113547      0.0102755
-0.3  -0.2   5   0   200        1.38071      -0.118473      0.0106036
-0.2  -0.1   5   0   200        1.39504      -0.122536      0.0109298
-0.1     0   5   0   200         1.4096      -0.127062       0.011296
  -0   0.1   5   0   200        1.39555      -0.122891      0.0109927
 0.1   0.2   5   0   200        1.42103      -0.131547      0.0116874
 0.2   0.3   5   0   200        1.41042      -0.129586      0.0115942
 0.3   0.4   5   0   200          1.392      -0.125413      0.0113107
 0.4   0.5   5   0   200        1.35805      -0.115727        0.01058
 0.5   0.6   5   0   200         1.3933      -0.127723      0.0115751
 0.6   0.7   5   0   200         1.4022      -0.130937      0.0118566
 0.7   0.8   5   0   200         1.3984       -0.12935      0.0117296
 0.8   0.9   5   0   200        1.38895      -0.126591       0.011545
 0.9     1   5   0   200        1.37635      -0.122168      0.0111959
   1   1.1   5   0   200         1.3979      -0.126393      0.0114571
 1.1   1.2   5   0   200        1.40749      -0.127704      0.0115335
 1.2   1.3   5   0   200        1.41797      -0.128763      0.0116001
 1.3   1.4   5   0   200        1.42011      -0.127685      0.0115371
 1.4   1.5   5   0   200         1.4182      -0.124424      0.0111859
 1.5   1.6   5   0   200        1.40523       -0.11784      0.0105895
 1.6   1.7   5   0   200        1.41627      -0.120475      0.0108229
 1.7   1.8   5   0   200        1.41456       -0.12013      0.0108077
 1.8   1.9   5   0   200        1.43447      -0.125533      0.0112498
 1.9     2   5   0   200        1.41658      -0.119337      0.0107458
   2   2.1   5   0   200        1.40302      -0.112735      0.0101337
 2.1   2.2   5   0   200        1.41961       -0.11558      0.0103666
 2.2   2.3   5   0   200        1.43174      -0.119017      0.0106878
 2.3   2.4   5   0   200        1.39995      -0.111783      0.0102173
 2.4   2.5   5   0   200        1.37249      -0.100297     0.00908728
 2.5   2.6   5   0   200        1.37535     -0.0921139     0.00805585
 2.6   2.7   5   0   200        1.34653     -0.0788747     0.00695022
 2.7   2.8   5   0   200        1.31519     -0.0812903     0.00704804
 2.8   2.9   5   0   200        1.28531     -0.0792694     0.00680725
 2.9     3   5   0   200         1.2353     -0.0774178     0.00661073
   3   3.1   5   0   200        1.22299     -0.0826963     0.00706838
 3.1   3.2   5   0   200        1.20332     -0.0860689     0.00746817
 3.2   3.3   5   0   200        1.11225     -0.0806979     0.00749751
 3.3   3.4   5   0   200        1.10582     -0.0896759     0.00829268
 3.4   3.5   5   0   200        1.13263     -0.0929675     0.00849992
 3.5   3.6   5   0   200        1.14973     -0.0942075     0.00864034
 3.6   3.7   5   0   200        1.17627      -0.100511     0.00909391
 3.7   3.8   5   0   200        1.17545     -0.0998095     0.00896413
 3.8   3.9   5   0   200        1.16733     -0.0987323     0.00881228
 3.9     4   5   0   200        1.16237     -0.0976496     0.00869206
   4   4.1   5   0   200        1.17631       -0.10223     0.00902402
 4.1   4.2   5   0   200        1.18252      -0.104322     0.00916432
 4.2   4.3   5   0   200        1.17448      -0.102955     0.00904658
 4.3   4.4   5   0   200        1.17654      -0.106524     0.00931055
 4.4   4.5   5   0   200        1.16315       -0.10387     0.00903034
 4.5   4.6   5   0   200        1.17637      -0.109508     0.00942172
 4.6   4.7   5   0   200        1.18248      -0.110488     0.00946106
 4.7   4.8   5   0   200         1.1948       -0.11989     0.00954664
 4.8   4.9   5   0   200        1.19667      -0.123446     0.00948757
 4.9     5   5   0   200        1.20528      -0.130902     0.00962739
