{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200        1.28128       -0.15855      0.0121025
-4.9  -4.8   5   0   200        1.28684      -0.159181      0.0125415
-4.8  -4.7   5   0   200        1.30311      -0.159831       0.012925
-4.7  -4.6   5   0   200        1.28311      -0.151853      0.0129112
-4.6  -4.5   5   0   200        1.28332      -0.151676      0.0129577
-4.5  -4.4   5   0   200        1.25214      -0.141113      0.0121805
-4.4  -4.3   5   0   200        1.24755      -0.141248      0.0122262
-4.3  -4.2   5   0   200        1.26906      -0.141754      0.0123317
-4.2  -4.1   5   0   200        1.25431      -0.137293      0.0120051
-4.1    -4   5   0   200        1.24813      -0.132132      0.0116235
  -4  -3.9   5   0   200        1.23672      -0.125981      0.0111251
-3.9  -3.8   5   0   200        1.22571      -0.119537      0.0106101
-3.8  -3.7   5   0   200        1.21372      -0.110703     0.00992871
-3.7  -3.6   5   0   200        1.19314      -0.105531     0.00952314
-3.6  -3.5   5   0   200        1.15325     -0.0930011     0.00858481
-3.5  -3.4   5   0   200        1.12796     -0.0905204     0.00839889
-3.4  -3.3   5   0   200        1.10792     -0.0880569     0.00825706
-3.3  -3.2   5   0   200        1.10866     -0.0823913     0.00785043
-3.2  -3.1   5   0   200        1.15605     -0.0804378      0.0074024
-3.1    -3   5   0   200        1.17998     -0.0747414     0.00678548
  -3  -2.9   5   0   200        1.19147     -0.0721599     0.00651905
-2.9  -2.8   5   0   200        1.22774     -0.0699839     0.00637817
-2.8  -2.7   5   0   200        1.25181      -0.072107     0.00661294
-2.7  -2.6   5   0   200        1.27502     -0.0684009     0.00639645
-2.6  -2.5   5   0   200        1.29031     -0.0708202     0.00671691
-2.5  -2.4   5   0   200        1.27067     -0.0726278     0.00727197
-2.4  -2.3   5   0   200        1.24617     -0.0722062     0.00775301
-2.3  -2.2   5   0   200        1.28193     -0.0809712     0.00845878
-2.2  -2.1   5   0   200        1.29804     -0.0857479     0.00877855
-2.1    -2   5   0   200         1.2963     -0.0882936     0.00900611
  -2  -1.9   5   0   200        1.26513     -0.0846272     0.00869855
-1.9  -1.8   5   0   200        1.22417     -0.0727718     0.00761303
-1.8  -1.7   5   0   200        1.23794     -0.0802417     0.00810129
-1.7  -1.6   5   0   200        1.22791     -0.0775818     0.00781197
-1.6  -1.5   5   0   200        1.22286     -0.0771375     0.00767798
-1.5  -1.4   5   0   200        1.18406     -0.0657108     0.00677778
-1.4  -1.3   5   0   200        1.20126     -0.0709262     0.00717099
-1.3  -1.2   5   0   200        1.18318     -0.0655704     0.00680473
-1.2  -1.1   5   0   200         1.1568     -0.0586129     0.00639009
-1.1    -1   5   0   200        1.14864     -0.0582897     0.00653692
  -1  -0.9   5   0   200        1.08743     -0.0407499     0.00525255
-0.9  -0.8   5   0   200        1.07551     -0.0363377     0.00498384
-0.8  -0.7   5   0   200         1.0942      -0.041291     0.00537104
-0.7  -0.6   5   0   200        1.10507     -0.0439232     0.00559776
-0.6  -0.5   5   0   200        1.12515     -0.0488462     0.00601326
-0.5  -0.4   5   0   200        1.20098     -0.0698617     0.00768021
-0.4  -0.3   5   0   200        1.23156     -0.0757331     0.00814895
-0.3  -0.2   5   0   200        1.26118     -0.0816384     0.00857968
-0.2  -0.1   5   0   200        1.27885     -0.0858961     0.00891204
-0.1     0   5   0   200        1.30185     -0.0930687     0.00946699
  -0   0.1   5   0   200        1.30249     -0.0938891     0.00952446
 0.1   0.2   5   0   200        1.34971      -0.110509      0.0107719
 0.2   0.3   5   0   200        1.33079       -0.10725      0.0104888
 0.3   0.4   5   0   200        1.28332     -0.0955843     0.00952083
 0.4   0.5   5   0   200        1.21589     -0.0769079     0.00803837
 0.5   0.6   5   0   200         1.2449     -0.0878393     0.00889496
 0.6   0.7   5   0   200        1.28174      -0.100375     0.00987812
 0.7   0.8   5   0   200        1.27732     -0.0988313     0.00975078
 0.8   0.9   5   0   200          1.252     -0.0929121      0.0093949
 0.9     1   5   0   200        1.25141     -0.0937611     0.00944458
   1   1.1   5   0   200        1.28418      -0.102114      0.0100129
 1.1   1.2   5   0   200        1.32622      -0.112909      0.0107821
 1.2   1.3   5   0   200        1.33681      -0.112381      0.0106818
 1.3   1.4   5   0   200        1.37247      -0.120551      0.0113252
 1.4   1.5   5   0   200        1.38309      -0.119526      0.0110874
 1.5   1.6   5   0   200        1.36805      -0.109616      0.0101707
 1.6   1.7   5   0   200        1.37853      -0.109664      0.0102124
 1.7   1.8   5   0   200        1.36602      -0.105032      0.0098842
 1.8   1.9   5   0   200        1.35093      -0.100149     0.00958868
 1.9     2   5   0   200        1.29981     -0.0858435     0.00848417
   2   2.1   5   0   200        1.30429     -0.0879258     0.00868072
 2.1   2.2   5   0   200        1.30602     -0.0881386     0.00883019
 2.2   2.3   5   0   200        1.32489     -0.0953306     0.00945948
 2.3   2.4   5   0   200        1.31519     -0.0973977     0.00972113
 2.4   2.5   5   0   200        1.29474     -0.0846794     0.00824533
 2.5   2.6   5   0   200         1.3359     -0.0847708     0.00769698
 2.6   2.7   5   0   200        1.32778      -0.076545     0.00692893
 2.7   2.8   5   0   200        1.30528     -0.0806415     0.00707821
 2.8   2.9   5   0   200        1.27832     -0.0777843     0.00669728
 2.9     3   5   0   200        1.23466      -0.077195     0.00658609
   3   3.1   5   0   200          1.223     -0.0826977     0.00706852
 3.1   3.2   5   0   200        1.20333     -0.0860713     0.00746836
 3.2   3.3   5   0   200        1.11227     -0.0807005     0.00749774
 3.3   3.4   5   0   200        1.10582     -0.0896759     0.00829268
 3.4   3.5   5   0   200        1.13263     -0.0929675     0.00849992
 3.5   3.6   5   0   200        1.14973     -0.0942075     0.00864034
 3.6   3.7   5   0   200        1.17627      -0.100511     0.00909391
 3.7   3.8   5   0   200        1.17545     -0.0998095     0.00896413
 3.8   3.9   5   0   200        1.16733     -0.0987323     0.00881228
 3.9     4   5   0   200        1.16237     -0.0976496     0.00869206
   4   4.1   5   0   200        1.17631       -0.10223     0.00902402
 4.1   4.2   5   0   200        1.18252      -0.104322     0.00916432
 4.2   4.3   5   0   200        1.17448      -0.102955     0.00904658
 4.3   4.4   5   0   200        1.17654      -0.106524     0.00931055
 4.4   4.5   5   0   200        1.16315       -0.10387     0.00903034
 4.5   4.6   5   0   200        1.17637      -0.109508     0.00942172
 4.6   4.7   5   0   200        1.18248      -0.110488     0.00946106
 4.7   4.8   5   0   200         1.1948       -0.11989     0.00954664
 4.8   4.9   5   0   200        1.19667      -0.123446     0.00948757
 4.9     5   5   0   200        1.20528      -0.130902     0.00962739
