{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200       0.976679     -0.0319509    0.000662688
-4.9  -4.8   5   0   200       0.974447     -0.0301451    0.000649327
-4.8  -4.7   5   0   200       0.971896     -0.0292071    0.000642993
-4.7  -4.6   5   0   200       0.978562     -0.0281044    0.000638892
-4.6  -4.5   5   0   200       0.976241     -0.0267004    0.000618898
-4.5  -4.4   5   0   200       0.979301      -0.025425    0.000598185
-4.4  -4.3   5   0   200       0.977783     -0.0236785    0.000570029
-4.3  -4.2   5   0   200       0.976621     -0.0212645    0.000538178
-4.2  -4.1   5   0   200       0.980393     -0.0205685    0.000520173
-4.1    -4   5   0   200       0.980326     -0.0201521    0.000517395
  -4  -3.9   5   0   200       0.978107     -0.0194318     0.00050824
-3.9  -3.8   5   0   200       0.976848      -0.019374    0.000519164
-3.8  -3.7   5   0   200       0.974426     -0.0191988    0.000526982
-3.7  -3.6   5   0   200       0.977169     -0.0177649    0.000450337
-3.6  -3.5   5   0   200       0.996883     -0.0171999    0.000421513
-3.5  -3.4   5   0   200        1.01042     -0.0162095    0.000370054
-3.4  -3.3   5   0   200         1.0137     -0.0141586    0.000282727
-3.3  -3.2   5   0   200        1.01228     -0.0119107    0.000177404
-3.2  -3.1   5   0   200        1.01198    -0.00920333    4.93886e-05
-3.1    -3   5   0   200        1.01016     -0.0071038   -4.26419e-05
  -3  -2.9   5   0   200        1.01024    -0.00446027    -0.00015992
-2.9  -2.8   5   0   200        1.00738    -0.00134312    -0.00030232
-2.8  -2.7   5   0   200         1.0027     0.00225908   -0.000467703
-2.7  -2.6   5   0   200       0.998466     0.00561614    -0.00060355
-2.6  -2.5   5   0   200       0.991821     0.00897614   -0.000743819
-2.5  -2.4   5   0   200       0.990539      0.0132674   -0.000908764
-2.4  -2.3   5   0   200       0.986569      0.0152045   -0.000979664
-2.3  -2.2   5   0   200       0.981421      0.0187125    -0.00112196
-2.2  -2.1   5   0   200       0.977514      0.0191966    -0.00112026
-2.1    -2   5   0   200       0.965946      0.0193906    -0.00109402
  -2  -1.9   5   0   200       0.952733      0.0206931    -0.00113052
-1.9  -1.8   5   0   200       0.955696      0.0197685    -0.00107257
-1.8  -1.7   5   0   200       0.958761      0.0187673    -0.00101483
-1.7  -1.6   5   0   200       0.959905      0.0184013   -0.000989808
-1.6  -1.5   5   0   200       0.956837      0.0183037   -0.000965531
-1.5  -1.4   5   0   200       0.956107      0.0179782   -0.000945724
