mass	sMean	sSigma	sAlphaHigh	sAlphaLow	sNHigh		sNLow		sFrac
1000	989.393	71.0084	0.802341	0.307866	137.601		58.7842		0.647727
1100	1088.03	73.178	1.50649		0.393937	4.06581e-05	122.59		0.766638
1200	1189.31	95.7954	3.20862		0.612874	22.3283		4.34942		0.935059
1300	1290.52	80.6086	0.824583	0.270631	118.52		86.0739		0.618822
1400	1384.57	93.5089	1.54842		0.555785	9.68409e-06	2.34644		0.804463
1500	1478.05	108.192	0.956848	0.647175	138.084		0.901705	0.664999
1600	1576.85	117.687	0.888859	0.827316	138.018		1.0743		0.837237
1700	1686.01	106.403	1.60384		0.414555	7.48075e-05	18.7206		0.810354
1800	1785.31	111.409	1.10082		0.232463	8.50656		38.9294		0.553897
1900	1885.05	114.278	0.974551	0.248247	137.137		81.8911		0.58406
2000	1985.94	116.695	0.928976	0.269954	131.425		115.621		0.623509
2100	2091.68	120.818	1.93134		0.338792	3.48874e-05	41.1685		0.754159
2200	2189.12	101.723	0.464855	0.275127	20.1362		87.2695		0.736859
2300	2291.45	127.56	1.91486		0.328501	0.00397488	77.5652		0.770701
2400	2385.39	135.94	1.86661		0.342144	0.052689	120.131		0.765371
2500	2482.77	141.512	1.85161		0.266102	0.282114	115.887		0.664811
2600	2584.18	144.709	1.91895		0.264024	0.216324	106.763		0.679205
2700	2667.67	161.482	2.0259		0.556224	4.3861e-07	1.63232		0.798604
2800	2767.81	160.492	1.22888		0.426232	3.34424		1.88771		0.720916
2900	2871.39	145.64	0.723658	0.355481	133.621		2.74325		0.741542
3000	2974.44	147.672	0.801442	0.2402		92.3753		97.3569		0.69413
3100	3054.05	175.541	0.94887		0.647171	5.27624		0.980733	0.795214
3200	3161.4	178.755	2.05536		0.57439		2.06474e-06	1.29746		0.831878
3300	3263.9	181.698	2.21323		0.464524	3.01441e-06	1.74881		0.803114
3400	3343.84	188.12	0.827075	0.783277	10.027		0.765884	0.848229
3500	3449.54	177.087	0.57115		0.68777		130.086		0.938204	0.871438
3600	3556.32	190.934	2.13348		0.549124	0.00399119	1.16522		0.84586
3700	3636.05	199.376	0.907319	0.868096	0.950432	0.609195	0.906939
3800	3742.73	197.418	1.05689		0.704688	4.0071		0.558997	0.814561
3900	3825.94	216.994	1.60919		1.01031		5.793e-06	0.397076	0.936545
4000	3934.73	212.07	1.84094		0.896435	2.0654e-07	0.404946	0.902168
4100	4045.82	200.024	1.46202		0.789851	1.6718e-05	0.49111		0.929383
4200	4122.95	229.758	2.35714		1.13973		1.38723e-08	1.19898e-05	0.681069
4300	4231.6	217.454	2.14158		1.01602		0.000583341	1.01043e-05	0.664235
4400	4344.77	184.764	0.8695		0.0285266	133.355		35.6565		0.596103
4500	4426.18	224.313	2.66103		1.14501		5747.81		1.00004e-05	0.753337
4600	4462	230	2.0626		0.8		5860.92		1.5		0.5
4700	4609.64	218.113	0.193168	1.25249		52.7705		0.000120459	0.805688
